price_bin,net_load_bin,soc_bin,time_block,weekend,q_discharge,q_hold,q_charge,visits_discharge,visits_hold,visits_charge,state_visits,best_action,best_action_index,best_environment_action
1,1,3,3,0,-61.495740781558894,-61.577034146261695,-61.078133900690275,202,237,178,617,charge,2,1
1,1,3,3,1,-57.775432066156476,-59.089022756374995,-59.2890897110177,787,687,462,1936,discharge,0,-1
1,2,0,0,0,-70.45232520614583,-73.16340900627742,-76.2970772713588,17028,16631,9172,42831,discharge,0,-1
1,2,0,0,1,-54.48108595187654,-56.75037734803506,-59.09499553547213,1540,828,277,2645,discharge,0,-1
1,2,0,1,0,-69.6795289872864,-69.78061849414675,-72.46592235014302,5727,4260,1966,11953,discharge,0,-1
1,2,0,1,1,-60.644454661183225,-61.185953450133006,-63.09474477442025,2602,2567,1626,6795,discharge,0,-1
1,2,0,2,0,-76.33899537627487,-70.64167131239213,-76.19103346093206,1154,999,239,2392,hold,1,0
1,2,0,2,1,-66.19490801606983,-68.57338766498424,-69.09172069482435,1064,829,292,2185,discharge,0,-1
1,2,0,3,0,-69.8637202765451,-65.50875081485277,-74.25038185085852,8544,7605,1511,17660,hold,1,0
1,2,0,3,1,-63.67701731269346,-61.22214965610155,-65.02376228463113,5118,4534,714,10366,hold,1,0
1,2,1,0,0,-71.2544868807404,-74.68828784134068,-74.52563597219307,745,1172,457,2374,discharge,0,-1
1,2,1,0,1,-53.991431703176524,-55.31833066693607,-55.51567430958373,141,231,106,478,discharge,0,-1
1,2,1,1,0,-72.13020203597142,-62.33387348355093,-75.04808877684857,841,827,460,2128,hold,1,0
1,2,1,1,1,-60.76954620660951,-59.55285221161914,-59.38976605519016,565,1162,437,2164,charge,2,1
1,2,1,2,0,-70.20461086441928,-73.10968368836991,-73.46589515375084,376,222,104,702,discharge,0,-1
1,2,1,2,1,-64.35594057008201,-62.48257875008874,-64.46710909050974,223,379,135,737,hold,1,0
1,2,1,3,0,-68.88770597039249,-72.299543216064,-72.94570983317884,836,487,196,1519,discharge,0,-1
1,2,1,3,1,-62.3971464782344,-61.062740648262434,-63.71493315733614,998,1047,216,2261,hold,1,0
1,2,2,0,0,-72.82392961646703,-70.3327010535167,-73.50355880897176,4667,6482,3852,15001,hold,1,0
1,2,2,0,1,-53.8032043017688,-54.59378040362298,-54.97403404295315,287,805,199,1291,discharge,0,-1
1,2,2,1,0,-66.04624918401072,-71.79460833501011,-71.86828421735221,2791,1779,1250,5820,discharge,0,-1
1,2,2,1,1,-60.09403117639456,-59.252647098253924,-60.781579317272715,1113,1734,1144,3991,hold,1,0
1,2,2,2,0,-73.49299729335047,-71.10691441651122,-74.17776737178828,427,621,256,1304,hold,1,0
1,2,2,2,1,-62.49026584621686,-64.16564436897727,-64.40877467300808,329,612,281,1222,discharge,0,-1
1,2,2,3,0,-66.97740150720821,-69.16147342149894,-70.95982871928632,1620,2103,613,4336,discharge,0,-1
1,2,2,3,1,-59.56470976835304,-61.401762818800016,-62.13653863483018,1595,1406,423,3424,discharge,0,-1
1,2,3,0,0,-71.60932067320354,-71.17162311691564,-71.043201395166,2955,4528,3311,10794,charge,2,1
1,2,3,0,1,-51.278266685235465,-51.208575499549575,-51.32973850812106,245,267,274,786,hold,1,0
1,2,3,1,0,-61.31823801422739,-68.31913815832529,-68.51784232273997,2525,1860,1714,6099,discharge,0,-1
1,2,3,1,1,-56.5674691770911,-54.72809354955881,-56.9542545327057,1579,1239,1032,3850,hold,1,0
1,2,3,2,0,-67.60903008673816,-70.12766659281672,-70.59928348422693,1462,740,600,2802,discharge,0,-1
1,2,3,2,1,-58.86391669498004,-60.690503277874356,-60.80466510102656,624,434,398,1456,discharge,0,-1
1,2,3,3,0,-66.7947429441759,-68.1312444676387,-68.69744926162129,1227,630,628,2485,discharge,0,-1
